Fecha,Ticker,Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,Ratio8,Ratio9,Ratio10,Ratio11,Ratio12,Ratio13,Ratio14,Ratio15,Ratio16,Ratio17,Ratio18,Ratio19,Ratio20,Ratio21,Ratio22,Ratio23,Ratio24,Ratio25,Ratio26,IssuerRating,SovereignRating
30/09/2016,IQ6165248,0.002027575,0.669811,6.617960916,0,0.769667478,7.675672,NaN,1.166666667,-76.9106,-0.174528302,0.171938362,6.673883627,-19.6024,-0.002034673,0.59825225,7.340516643,0.017669029,0.796593528,6.986959476,0.350614601,1.829083422,-74.59876667,-2.864469622,0.161395778,7.698938512,-127.1942,B,AA+
31/12/2016,IQ6165248,-0.010931259,0.282157,13.87135678,0,0.796510406,3.358016642,NaN,0.760124611,-79.394,-0.580912863,0.202648728,7.901993355,-83.5196,-0.008370782,0.3562915,10.75521133,0.017669029,0.789303834,3.752389562,0.350614601,1.338323614,-76.03823333,0.015870344,0.166759402,7.278055272,-3.0446,B,AA+
31/03/2017,IQ6165248,0.018346733,0.836575,4.452330241,0,0.796536797,10.36143494,NaN,0.779792746,108.7378,-0.182879377,0.211915069,8.724820144,-32.4696,-0.002990308,0.43494075,8.313882645,0.003372359,0.787167968,5.211795964,-0.754709434,1.075006662,-15.8556,-0.158970379,0.187633741,7.446121104,-25.4912,B,AA+
30/06/2017,IQ6165248,0.012697112,0.741035,5.244629718,0.030663964,0.808109769,9.073160244,6.148753223,0.684782609,NaN,-0.03187251,0.205611305,8.814079422,-5.7656,0.00553504,0.6323945,7.546569414,0.007665991,0.792706112,7.617070956,6.148753223,0.847841658,-15.8556,-0.242548263,0.198028366,8.028694137,-35.3393,CCC,AA+
30/09/2017,IQ6165248,-0.003494347,0.417355,9.73515719,0.005311077,0.81274409,5.0499955,19.2380781,0.669099757,-28.8733,-0.305785124,0.198972251,10.05165289,-57.0324,0.00415456,0.5692805,8.325868482,0.00899376,0.803475265,6.960651831,12.69341566,0.723449931,0.156833333,-0.275362469,0.204786838,8.873136454,-44.6968,CCC,AA+
30/09/2012,IQ347306,NaN,0.435912,0,NaN,NaN,9.214474283,NaN,NaN,NaN,0.117765386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,AA+
31/12/2012,IQ347306,0.014831911,0.413023,8.460469518,0,0.802742994,4.189081619,NaN,1.477493125,NaN,-0.132214484,0.223125412,5.966584088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,AA+
31/03/2013,IQ347306,NaN,0.428282,7.96068275,0,NaN,8.451536783,NaN,NaN,11.7743,0.054194347,NaN,NaN,7.3944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,AA+
30/06/2013,IQ347306,0.020176098,0.452143,5.645756052,0,0.67919103,10.05887127,NaN,1.977073324,34.9102,0.127859807,0.257067282,3.478820009,14.5356,0.017504004,0.43234,5.51672708,0,0.740967012,7.978490987,NaN,1.727283225,23.34225,0.041901264,0.240096347,4.722702049,10.965,NaN,AA+
30/09/2013,IQ347306,0.022110402,0.457354,5.998602479,1.75E-05,0.781740191,10.81910055,9107.965344,2.072862472,16.9555,0.147156252,0.272021886,5.532797269,NaN,0.01903947,0.4377005,7.0163777,4.37E-06,0.754558072,8.379647553,9107.965344,1.842476307,21.21333333,0.049248981,0.250738193,4.992733789,10.965,NaN,AA+
31/12/2013,IQ347306,0.011995226,0.36042,7.395386109,0.119561729,0.657584455,5.054832198,1.10759174,0.295566371,-6.3913,-0.054016043,0.241609803,3.317671085,-5.6564,0.018093909,0.42454975,6.750106847,0.029894801,0.706171892,8.596085198,4554.536468,1.448500722,14.312175,0.068798591,0.256899657,4.109762788,5.424533333,NaN,AA+
31/03/2014,IQ347306,0.013328345,0.390269,6.992135385,0.117949323,0.656652826,11.54601675,1.206209128,0.329863445,-4.0789,0.059489634,0.239381082,3.362884139,4.7924,0.016902518,0.4150465,6.507970006,0.059382131,0.693792125,9.369705189,3036.759715,1.168841403,10.348875,0.070122413,0.252520013,3.923043125,4.5572,NaN,AA+
30/06/2014,IQ347306,0.023581623,0.475782,4.77184166,0.11890617,0.653031297,13.16408919,1.751195671,0.386178562,15.3781,0.143777531,0.285801863,3.305137714,13.6816,0.017753899,0.42095625,6.289491408,0.089108674,0.687252192,10.14600967,2278.007585,0.771117712,5.46585,0.074101843,0.259703659,3.879622551,4.272533333,B+,AA+
30/09/2014,IQ347306,0.025003599,0.472059,4.523996461,0.119502746,0.646012513,19.15294851,1.836718285,0.404473933,10.5143,0.17777128,0.300375899,3.237849243,17.4728,0.018477198,0.4246325,5.920839904,0.118979992,0.653320273,12.22947166,1.475428706,0.354020578,3.85555,0.0817556,0.266792162,3.305885545,7.5726,B+,AA+
31/12/2014,IQ347306,0.015844253,0.420142,5.875281249,0.119498889,0.649964964,21.81081301,1.364989209,0.4250964,22.6073,0.099061877,0.252340486,3.225412199,8.0536,0.019439455,0.439563,5.540813689,0.118964282,0.6514154,16.41846687,1.539778073,0.386403085,11.1052,0.12002508,0.269474833,3.282820824,11.0001,B+,AA+
31/03/2015,IQ347306,0.015499786,0.414008,5.999329371,0.118823418,0.649362903,15.20771143,1.368370255,0.516360287,12.862,0.096873685,0.255025969,3.257159651,8.034,0.019982315,0.44549775,5.292612185,0.119182806,0.649592919,17.33389054,1.580318355,0.433027295,15.340425,0.129371093,0.273386054,3.256389702,11.8105,B+,AA+
30/06/2015,IQ347306,0.0258411,0.493019,4.224643234,0.01008182,0.639708287,19.22922425,22.9270004,1.227589775,9.5448,0.190428755,0.29991936,3.199424221,18.4924,0.020547184,0.449807,5.155812579,0.091976718,0.646262167,18.8501743,6.874269537,0.643380099,13.8821,0.141033899,0.276915429,3.229961328,13.0132,BB-,AA+
