Fecha,Ticker,Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,Ratio8,Ratio9,Ratio10,Ratio11,Ratio12,Ratio13,Ratio14,Ratio15,Ratio16,Ratio17,Ratio18,Ratio19,Ratio20,Ratio21,Ratio22,Ratio23,Ratio24,Ratio25,Ratio26,Ratio27,Ratio28,Ratio29,Ratio30,IssuerRating,SovereignRating
31/12/2015,IQ25776879,NaN,0.27635806,1.14759923,0.091006606,0.016551971,-0.036374504,-3.668986085,3.383955642,NaN,4.231393266,0.007421946,NaN,0.435136547,0.922932574,0.647117645,NaN,0.217940739,1.286004757,0.091006606,0.051891432,0.037192483,-0.434848448,1.231665575,NaN,1.178448717,0.05577438,NaN,0.455117204,0.801661106,0.666612341,NaN,BBB
31/03/2016,IQ25776879,10.15541773,0.20058935,1.054723928,NaN,0.003410805,0.028974716,0.459936536,0.620740284,2.1928,0.304722924,0.069625941,22.2688,0.427797523,0.750739559,0.71639659,10.15541773,0.238473705,1.101161579,0.091006606,0.009981388,-0.003699894,-0.497518421,1.378725927,2.1928,1.228125477,0.038523943,22.2688,0.431467035,0.836836067,0.681757118,NaN,BBB
30/06/2016,IQ25776879,10.72340867,0.258307049,1.062263249,0.086276039,0.016284655,0.025599394,0.489238651,0.658396681,1.9292,0.281039291,0.067624971,20.6876,0.400021292,0.802967395,0.709760961,10.4394132,0.24508482,1.088195469,0.088641322,0.012082477,0.006066535,-0.517180325,1.289180222,2.061,1.240852204,0.048224286,21.4782,0.42098512,0.825546509,0.691091732,NaN,BBB
30/09/2016,IQ25776879,10.72570344,0.254737833,1.083942151,0.078684155,-0.005420146,0.029797911,0.465542716,0.598455683,2.3172,0.338535738,0.069267556,24.8536,0.373295329,0.890601276,0.68729233,10.53484328,0.247498073,1.08713214,0.085322267,0.007706821,0.011999379,-0.563567045,1.315387072,2.1464,1.288922805,0.053485103,22.60333333,0.409062673,0.841810201,0.690141882,NaN,BBB
31/12/2016,IQ25776879,9.931350626,0.267496048,1.121213227,0.088625232,0.020993712,0.040340217,0.534438409,0.472243845,1.7888,0.248862187,0.072796428,17.7652,0.372892585,0.988048499,0.658276494,10.38397011,0.24528257,1.080535639,0.084528475,0.008817257,0.03117806,0.487289078,0.587459123,2.057,0.293290035,0.069828724,21.3938,0.393501682,0.858089182,0.692931594,NaN,BBB
31/03/2017,IQ25776879,9.392422192,0.286864034,1.138192008,0.099303101,0.039419915,0.066340894,0.395270201,0.228683139,1.7736,0.215716748,0.082256412,16.6584,0.376731978,0.984049457,0.661005501,10.19322123,0.266851241,1.101402659,0.088222132,0.017819534,0.040519604,0.471122494,0.489444837,1.9522,0.271038491,0.072986342,19.9912,0.380735296,0.916416657,0.679083821,NaN,BBB
30/06/2017,IQ25776879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.01649208,0.269699305,1.114449129,0.088870829,0.01833116,0.045493007,0.465083776,0.433127555,1.959866667,0.267704891,0.074773465,19.75906667,0.37430663,0.954233077,0.668858108,NaN,BBB
30/09/2017,IQ25776879,NaN,0.285987485,1.087932534,0.11306849,0.029926307,0.039649279,0.560842534,0.491591853,NaN,0.127862265,0.07245238,NaN,0.356988681,1.050728358,0.604188272,9.661886409,0.280115856,1.115779256,0.100332275,0.030113311,0.048776797,0.496850382,0.397506279,1.7812,0.1974804,0.075835074,17.2118,0.368871081,1.007608771,0.641156756,NaN,BBB
31/12/2017,IQ25776879,9.505091938,0.295122812,1.13682548,0.104964188,-0.033261336,0.038908188,0.685315882,0.453106696,2.828,0.42062071,0.069176947,26.8804,0.373813014,1.041298241,0.636173744,9.448757065,0.289324777,1.120983341,0.105778593,0.012028295,0.048299454,0.547142872,0.391127229,2.3008,0.254733241,0.07462858,21.7694,0.369177891,1.025358685,0.633789173,NaN,BBB-
31/03/2018,IQ25776879,8.909650924,0.29563773,1.122834333,0.098414204,0.018880305,0.053062191,0.741590246,0.210448105,0.3896,0.060493743,0.063730168,3.4712,0.383998913,1.032574067,0.623247149,9.207371431,0.292249342,1.115864116,0.105482294,0.005181759,0.043873219,0.662582887,0.385048884,1.6088,0.202992239,0.068453165,15.1758,0.371600203,1.041533555,0.621203055,NaN,BBB-
30/09/2012,BVC:OCCIDENTE,7.354349951,0.23986832,1.053677721,0.035965536,0.039895485,NaN,0.430389403,0.640927404,2.4552,0.241066796,0.099014107,18.0564,0.177503151,1.063955149,0.747651086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BBB-
31/12/2012,BVC:OCCIDENTE,7.165577342,0.23986832,1.053677721,0.035965536,0.039895485,0.041247281,0.430389403,0.640927404,2.3868,0.241066796,0.099014107,17.1028,0.177503151,1.063955149,0.747651086,7.259963647,0.23986832,1.053677721,0.035965536,0.039895485,0.041247281,0.430389403,0.640927404,2.421,0.241066796,0.099014107,17.5796,0.177503151,1.063955149,0.747651086,NaN,BBB-
31/03/2013,BVC:OCCIDENTE,7.557676795,0.230163288,1.022845107,0.037245618,0.042538947,0.039792337,0.449343418,0.620337482,1.4876,0.1655277,0.085187424,11.2428,0.201246679,1.020664564,0.730993939,7.359201363,0.236633309,1.043400183,0.03639223,0.040776639,0.040519809,0.436707408,0.634064097,2.109866667,0.215887097,0.094405213,15.46733333,0.185417661,1.049524954,0.742098704,NaN,BBB-
30/06/2013,BVC:OCCIDENTE,7.947801418,0.230163288,1.022845107,0.037245618,0.042538947,0.037895342,0.449343418,0.620337482,1.41,0.1655277,0.085187424,11.2064,0.201246679,1.020664564,0.730993939,7.506351377,0.235015804,1.038261414,0.036605577,0.041217216,0.039644987,0.439866411,0.630632443,1.9349,0.203297248,0.092100766,14.4021,0.189374915,1.042309856,0.739322512,NaN,BBB
30/09/2013,BVC:OCCIDENTE,7.812864078,0.227909828,1.038687524,0.035691045,0.041088904,0.038626938,0.440295248,0.627796825,1.648,0.184428776,0.087373931,12.8756,0.191697443,0.999500445,0.778599927,7.620979908,0.232026181,1.034513865,0.036536954,0.041515571,0.039390475,0.442342872,0.627349798,1.7331,0.189137743,0.089190721,13.1069,0.192923488,1.02619618,0.747059723,NaN,BBB
31/12/2013,BVC:OCCIDENTE,7.685948361,0.227909828,1.038687524,0.035691045,0.041088904,0.037438564,0.440295248,0.627796825,1.6112,0.184428776,0.087373931,12.3836,0.191697443,0.999500445,0.778599927,7.751072663,0.229036558,1.030766316,0.036468331,0.041813925,0.038438295,0.444819333,0.624067153,1.5392,0.174978238,0.086280677,11.9271,0.196472061,1.010082504,0.754796933,NaN,BBB
31/03/2014,BVC:OCCIDENTE,7.798076923,0.226526778,1.034215797,0.036178487,0.0388488,0.036512231,0.43334405,0.641539296,1.7056,0.192610292,0.085612907,13.3004,0.205644636,0.951799447,0.79931633,7.811172695,0.22812743,1.033608988,0.036201549,0.040891389,0.037618269,0.440819491,0.629367607,1.5937,0.181748886,0.086387048,12.4415,0.19757155,0.992866225,0.771877531,NaN,BBB
30/06/2014,BVC:OCCIDENTE,7.906113537,0.226526778,1.034215797,0.036178487,0.0388488,0.03526659,0.43334405,0.641539296,1.6488,0.192610292,0.085612907,13.0356,0.205644636,0.951799447,0.79931633,7.800750725,0.227218303,1.036451661,0.035934766,0.039968852,0.036961081,0.436819649,0.63466806,1.6534,0.188519534,0.086493419,12.8988,0.198671039,0.975649946,0.788958128,NaN,BBB
30/09/2014,BVC:OCCIDENTE,8.002976392,0.226728783,1.058611857,0.037542077,0.044336363,0.032797349,0.267791641,0.770253262,5.9132,0.469642013,0.123140038,47.3232,0.24060636,0.919547878,0.80977567,7.848278803,0.226923041,1.041432744,0.036397524,0.040780717,0.035503683,0.393693747,0.670282169,2.7197,0.259822843,0.095434946,21.5107,0.210898268,0.955661804,0.796752064,NaN,BBB
31/12/2014,BVC:OCCIDENTE,8.099052362,0.226728783,1.058611857,0.037542077,0.044336363,0.031670655,0.267791641,0.770253262,5.7828,0.469642013,0.123140038,46.8352,0.24060636,0.919547878,0.80977567,7.951554804,0.22662778,1.046413827,0.036860282,0.041592581,0.034061706,0.350567846,0.705896279,3.7626,0.331126152,0.104376472,30.1236,0.223125498,0.935673662,0.804546,NaN,BBB
31/03/2015,BVC:OCCIDENTE,8.497427653,0.19526908,1.071718936,0.02990668,0.016606498,0.052283906,0.583126792,0.310480473,1.244,0.182108841,0.067205539,10.5708,0.230536081,0.963982228,0.791765353,8.126392486,0.218813356,1.055789612,0.035292331,0.036032006,0.038004625,0.388013531,0.623131573,3.6472,0.32850079,0.09977463,29.4412,0.229348359,0.938719357,0.802658256,NaN,BBB
30/06/2015,BVC:OCCIDENTE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.199818802,0.216242216,1.062980883,0.034996945,0.035093075,0.038917303,0.372903358,0.616995665,4.313333333,0.373797622,0.104495205,34.90973333,0.2372496,0.934359328,0.803772231,NaN,BBB
30/09/2015,BVC:OCCIDENTE,NaN,0.186784071,1.102196703,0.029847011,0.022251199,0.050839531,0.496901701,0.288619394,NaN,0.130791597,0.066537043,NaN,0.206214907,1.114514572,0.733813757,8.298240007,0.202927311,1.077509165,0.032431923,0.027731353,0.044931364,0.449273378,0.456451043,3.5134,0.260847484,0.08562754,28.703,0.225785783,0.999348226,0.778451593,NaN,BBB
31/12/2015,BVC:OCCIDENTE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.497427653,0.191026575,1.08695782,0.029876845,0.019428848,0.051561718,0.540014247,0.299549933,1.244,0.156450219,0.066871291,10.5708,0.218375494,1.0392484,0.762789555,NaN,BBB
31/03/2016,BVC:OCCIDENTE,NaN,0.187122987,1.086923957,0.030552598,0.020159135,0.050392344,0.439021892,0.415223648,NaN,0.291220103,0.078963566,NaN,0.179045878,1.08692644,0.766842223,NaN,0.186953529,1.09456033,0.030199804,0.021205167,0.050615937,0.467961796,0.351921521,NaN,0.21100585,0.072750305,NaN,0.192630393,1.100720506,0.75032799,NaN,BBB
30/06/2016,BVC:OCCIDENTE,8.564780648,0.191887519,1.07196735,0.030333164,0.020792454,0.052097613,0.462436026,0.393623566,1.9512,0.248518317,0.078157923,16.7116,0.180609881,1.058309113,0.783218372,8.564780648,0.188598192,1.087029337,0.030244257,0.021067596,0.051109829,0.466119873,0.365822203,1.9512,0.223510006,0.074552844,16.7116,0.188623556,1.086583375,0.76129145,NaN,BBB
30/09/2016,BVC:OCCIDENTE,8.417264408,0.19128644,1.092751366,0.031509939,0.020748702,0.053892022,0.477730377,0.349872696,1.6172,0.213414823,0.076255453,13.6124,0.168707143,1.116299746,0.761208102,8.491022528,0.190098982,1.083880891,0.030798567,0.020566763,0.052127326,0.459729432,0.38623997,1.7842,0.251051081,0.077792314,15.162,0.176120967,1.087178433,0.770422899,NaN,BBB
31/12/2016,BVC:OCCIDENTE,8.217845855,0.196621908,1.101068583,0.032490149,0.037823081,0.055659849,0.466074329,0.389896665,1.6452,0.195876233,0.083894594,13.52,0.170009314,1.110500489,0.775455281,8.399963637,0.191729713,1.088177814,0.031221462,0.024880843,0.053010457,0.461315656,0.387154144,1.737866667,0.237257369,0.079317884,14.61466667,0.174593054,1.093008947,0.771680994,NaN,BBB
31/03/2017,BVC:OCCIDENTE,8.400921659,0.181014167,1.088844841,0.031137258,0.022779708,0.058788057,0.517974241,0.248838473,0.868,0.12037409,0.071242334,7.292,0.155431152,1.127373572,0.764706804,8.400203142,0.190202508,1.088658035,0.031367628,0.025535986,0.055109385,0.481053743,0.34555785,1.5204,0.194545866,0.077387576,12.784,0.168689372,1.10312073,0.771147139,NaN,BBB
30/06/2017,BVC:OCCIDENTE,8.80391198,0.183465672,1.05166174,0.03136438,0.029582482,0.050311706,0.548025128,0.372932715,0.818,0.112400902,0.071454941,7.2016,0.154343555,1.084093236,0.771572513,8.459985975,0.188097047,1.083581633,0.031625431,0.027733493,0.054662909,0.502451019,0.340385137,1.2371,0.160516512,0.075711831,10.4065,0.162122791,1.10956676,0.768235675,NaN,BBB
30/09/2017,BVC:OCCIDENTE,8.662192394,0.193567268,1.094615973,0.038277999,0.034672334,0.065308169,0.468326889,0.283487238,1.2516,0.150488589,0.084318026,10.8416,0.168641337,1.114550874,0.77411414,8.521217972,0.188667254,1.084047784,0.033317447,0.031214401,0.057516945,0.500100147,0.323788773,1.1457,0.144784954,0.077727474,9.7138,0.162106339,1.109129542,0.771462184,NaN,BBB
31/12/2017,BVC:OCCIDENTE,8.513303316,0.207871968,1.081935671,0.042568476,0.046466004,0.049103794,0.494297609,0.445091803,0.9772,0.119504495,0.080826156,8.3192,0.212319369,1.019541629,0.784570966,8.595082337,0.191479769,1.079264556,0.035837028,0.033375132,0.055877932,0.507155967,0.337587557,0.9787,0.125692019,0.076960364,8.4136,0.172683853,1.086389828,0.773741106,NaN,BBB-
31/03/2018,BVC:OCCIDENTE,8.957369615,0.192046788,1.088446266,0.04953805,0.03385596,0.060124493,0.559269338,0.266784813,0.882,0.116259732,0.076108258,7.9004,0.184629454,1.082038284,0.773127392,8.734194326,0.194237924,1.079164913,0.040437226,0.036144195,0.056212041,0.517479741,0.342074142,0.9822,0.12466343,0.078176845,8.5657,0.179983429,1.075056006,0.775846253,NaN,BBB-
30/09/2012,BVC:POPULAR,7.305850642,0.220519124,1.153992274,0.036760223,0.031675075,NaN,0.436316784,0.432767287,2.5228,0.226063108,0.110418281,18.4312,0.132028493,1.237437832,0.729435001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BBB-
31/12/2012,BVC:POPULAR,7.029326923,0.220519124,1.153992274,0.036760223,0.031675075,0.06911267,0.436316784,0.432767287,2.496,0.226063108,0.110418281,17.5452,0.132028493,1.237437832,0.729435001,7.167588783,0.220519124,1.153992274,0.036760223,0.031675075,0.06911267,0.436316784,0.432767287,2.5094,0.226063108,0.110418281,17.9882,0.132028493,1.237437832,0.729435001,NaN,BBB-
31/03/2013,BVC:POPULAR,7.057894737,0.233284175,1.115272696,0.039610381,0.03604525,0.073399216,0.385778827,0.415287865,2.812,0.250880535,0.109540164,19.8468,0.15151936,1.110330002,0.764280902,7.131024101,0.224774141,1.141085748,0.037710276,0.0331318,0.071255943,0.419470799,0.426940813,2.610266667,0.234335584,0.110125576,18.60773333,0.138525449,1.195068555,0.741050301,NaN,BBB-
30/06/2013,BVC:POPULAR,7.084861718,0.233284175,1.115272696,0.039610381,0.03604525,0.072755372,0.385778827,0.415287865,2.748,0.250880535,0.109540164,19.4692,0.15151936,1.110330002,0.764280902,7.119483505,0.22690165,1.134632485,0.038185302,0.033860163,0.071755752,0.411047806,0.424027576,2.6447,0.238471821,0.109979223,18.8231,0.141773926,1.173883917,0.746857951,NaN,BBB
30/09/2013,BVC:POPULAR,6.932906764,0.239042017,1.153576204,0.036207549,0.025784968,0.066795982,0.476184514,0.415855078,2.188,0.213858385,0.099688335,15.1692,0.182866228,1.084594613,0.784598652,7.026247535,0.231532373,1.134528468,0.038047134,0.032387636,0.07051581,0.421014738,0.419799524,2.561,0.235420641,0.107296736,18.0076,0.15448336,1.135673112,0.760648864,NaN,BBB
31/12/2013,BVC:POPULAR,6.794520548,0.239042017,1.153576204,0.036207549,0.025784968,0.064092005,0.476184514,0.415855078,2.1316,0.213858385,0.099688335,14.4832,0.182866228,1.084594613,0.784598652,6.967545942,0.236163096,1.13442445,0.037908965,0.030915109,0.069260643,0.43098167,0.415571472,2.4699,0.23236946,0.10461425,17.2421,0.167192794,1.097462308,0.774439777,NaN,BBB
31/03/2014,BVC:POPULAR,6.800741115,0.24063527,1.131658309,0.03634081,0.023109574,0.061173415,0.44152903,0.412368246,2.3748,0.252276513,0.091991903,16.1504,0.181165014,1.080115419,0.780516043,6.903257536,0.23800087,1.138520853,0.037091572,0.02768119,0.066204193,0.444919221,0.414841567,2.3606,0.232718454,0.100227184,16.318,0.174604207,1.089908662,0.778498562,NaN,BBB
30/06/2014,BVC:POPULAR,6.807102224,0.24063527,1.131658309,0.03634081,0.023109574,0.060040544,0.44152903,0.412368246,2.3204,0.252276513,0.091991903,15.7952,0.181165014,1.080115419,0.780516043,6.833817663,0.239838643,1.142617256,0.036274179,0.024447271,0.063025486,0.458856772,0.414111662,2.2537,0.233067449,0.095840119,15.3995,0.182015621,1.082355016,0.782557347,NaN,BBB
30/09/2014,BVC:POPULAR,6.606407767,0.236909978,1.159661402,0.033945345,0.02480907,0.0597958,0.464683407,0.41076338,2.06,0.22332925,0.093454329,13.6092,0.149550586,1.245007468,0.731134568,6.752192913,0.239305634,1.144138556,0.035708628,0.024203297,0.061275441,0.455981495,0.412838738,2.2217,0.235435165,0.094281617,15.0095,0.17368671,1.12245823,0.769191326,NaN,BBB
31/12/2014,BVC:POPULAR,6.413456009,0.236909978,1.159661402,0.033945345,0.02480907,0.059994029,0.464683407,0.41076338,2.0868,0.22332925,0.093454329,13.3836,0.149550586,1.245007468,0.731134568,6.656926779,0.238772624,1.145659855,0.035143077,0.023959322,0.060250947,0.453106219,0.411565813,2.2105,0.237802882,0.092723116,14.7346,0.1653578,1.162561444,0.755825305,NaN,BBB
31/03/2015,BVC:POPULAR,6.780358598,0.214067101,1.148976916,0.031650938,0.005724729,0.067899996,0.534319447,0.199712192,1.9632,0.252831781,0.075492828,13.3112,0.147966504,1.14043733,0.779591413,6.65183115,0.232130582,1.149989507,0.03397061,0.019613111,0.061932592,0.476303823,0.358401799,2.1076,0.237941699,0.088598347,14.0248,0.157058173,1.177641921,0.755594148,NaN,BBB
30/06/2015,BVC:POPULAR,7.166841333,0.214067101,1.148976916,0.031650938,0.005724729,0.066175088,0.534319447,0.199712192,1.9084,0.252831781,0.075492828,13.6772,0.147966504,1.14043733,0.779591413,6.741765927,0.22548854,1.154319159,0.032798142,0.0152669,0.063466228,0.499501427,0.305237786,2.0046,0.238080515,0.084473578,13.4953,0.148758545,1.192722399,0.75536299,NaN,BBB
30/09/2015,BVC:POPULAR,7.319223986,0.203771649,1.124999943,0.027334904,0.014423169,0.053363645,0.702802203,0.244253514,0.9072,0.142046455,0.061734618,6.64,0.137778746,1.164074734,0.753203092,6.919969982,0.217203958,1.145653794,0.031145531,0.012670425,0.06185819,0.559031126,0.263610319,1.7164,0.217759817,0.076543651,11.753,0.145815585,1.172489215,0.760880121,NaN,BBB
31/12/2015,BVC:POPULAR,7.464872263,0.203771649,1.124999943,0.027334904,0.014423169,0.052007334,0.702802203,0.244253514,0.8768,0.142046455,0.061734618,6.5452,0.137778746,1.164074734,0.753203092,7.182824045,0.208919375,1.13698843,0.029492921,0.010073949,0.059861516,0.618560825,0.221982853,1.4139,0.197439118,0.068613723,10.0434,0.142872625,1.152256032,0.766397252,NaN,BBB
31/03/2016,BVC:POPULAR,NaN,NaN,NaN,NaN,NaN,NaN,0.598152054,0.361296109,NaN,0.166788461,NaN,9.3096,NaN,NaN,NaN,7.316979194,0.207203467,1.132992268,0.028773582,0.011523689,0.057182023,0.634518977,0.262378832,1.2308,0.175928288,0.066320688,9.043,0.141174665,1.1561956,0.761999199,NaN,BBB
30/06/2016,BVC:POPULAR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.392048124,0.203771649,1.124999943,0.027334904,0.014423169,0.05268549,0.66791882,0.283267712,0.892,0.15029379,0.061734618,7.498266667,0.137778746,1.164074734,0.753203092,NaN,BBB
30/09/2016,BVC:POPULAR,NaN,0.171220975,1.158439711,NaN,0.007521229,0.053341365,0.575748825,0.378224582,NaN,0.239721948,0.075603525,NaN,0.111824924,1.104569447,0.802307131,7.464872263,0.187496312,1.141719827,0.027334904,0.010972199,0.052674349,0.625567694,0.327924735,0.8768,0.182852288,0.068669071,7.9274,0.124801835,1.134322091,0.777755112,NaN,BBB
31/12/2016,BVC:POPULAR,7.597758406,0.196876982,1.135558167,0.031671734,0.012235587,-0.056143957,-0.189765375,4.190841305,0.6424,0.403159244,0.015841021,4.8808,0.133850793,1.12273787,0.816640038,7.597758406,0.184048978,1.146998939,0.031671734,0.009878408,-0.001401296,0.328045168,1.643453998,0.6424,0.269889884,0.045722273,7.0952,0.122837858,1.113653659,0.809473585,NaN,BBB
31/03/2017,BVC:POPULAR,7.787933526,0.194402844,1.099797745,0.032840321,0.012814928,0.052853514,0.599497918,0.317369157,1.1072,0.156013212,0.070773311,8.6228,0.127777492,1.063909302,0.833365673,7.692845966,0.187500267,1.131265208,0.032256027,0.010857248,0.016683641,0.32849379,1.628811681,0.8748,0.266298135,0.054072619,6.7518,0.124484403,1.097072206,0.817437614,NaN,BBB
30/06/2017,BVC:POPULAR,7.917946927,0.195334939,1.10549045,0.034124313,0.006848955,0.075496626,0.665448169,-0.063603213,1.1456,0.177395283,0.064668928,9.0708,0.126750298,1.088067044,0.832084351,7.76787962,0.189458935,1.124821518,0.032878789,0.009855175,0.031386887,0.412732384,1.205707958,0.965066667,0.244072422,0.056721696,7.5248,0.125050877,1.094820916,0.821099298,NaN,BBB
