Fecha,Ticker,Utilidad Operacional del Trimestre / Activo Total,Utilidad Operacional del Trimestre / Activo Total (Promedio LTM),Margen EBITDA del Trimestre,Margen EBITDA del Trimestre (Promedio LTM),Margen Neto del Trimestre,Margen Neto del Trimestre (Promedio LTM),Utilidad Neta del Trimestre Anualizada / Total Patrimonio,Utilidad Neta del Trimestre Anualizada / Total Patrimonio (Promedio LTM),Total Activo / Total Patrimonio,Total Activo / Total Patrimonio (Promedio LTM),Deuda Neta / EBITDA del Trimestre Anualizado,Deuda Neta / EBITDA del Trimestre Anualizado (Promedio LTM),Deuda Bruta / Activo,Deuda Bruta / Activo (Promedio LTM),EBITDA del Trimestre Anualizado / Intereses,EBITDA del Trimestre Anualizado / Intereses (Promedio LTM),Crecimiento del EBITDA Últimos 12 Meses EBITDA,Crecimiento del EBITDA Últimos 12 Meses EBITDA (Promedio LTM),Ingresos del Trimestre Anualizados / Total Activo,Ingresos del Trimestre Anualizados / Total Activo (Promedio LTM),Activo Corto Plazo / Pasivo Corto Plazo,Activo Corto Plazo / Pasivo Corto Plazo (Promedio LTM),Rating Test,Rating Predicc
31/03/2017,IQ271362838,0.007219533,0.008811284,0.123878,0.131903,0.036468886,0.03218366,2.2604,2.1614,1.6650758630000002,1.664897485,5.284481261,4.400808728,0.319606306,0.31807345,8.963319162000001,10.41720621,-49.5878,-9.6893,0.373685207,0.402356606,7.621936989,7.735854035,B+,B+
30/06/2016,IQ93025,-0.029175695,-0.022703857,0.041791,0.06801975,-1.321625953,-0.8331717470000001,-100.3436,-66.6655,2.464583497,2.273671932,17.59598588,9.895493982,0.381989709,0.340582024,2.581744644,5.990247993,-87.1188,-85.70665,0.35491699200000004,0.400514928,3.287704703,3.011530328,BB,B
30/06/2013,IQ31900,0.022891674,0.026321022000000003,0.171219,0.182975,0.094804499,0.10548949199999999,10.204,11.4788,1.603407952,1.557241682,0.467415133,0.225584698,0.122644599,0.10140344800000001,127.8663492,211.8156793,-7.4325,1.617725,0.666924657,0.6910293279999999,2.70884499,2.648378007,A,A+
31/12/2016,IQ34817,0.018268407,0.020074072,0.049163,0.05383125,0.004144386,0.020351482,8.4084,62.9923,9.398252697,14.59181459,5.8763424760000005,5.925256212000001,0.6192859039999999,0.646556174,6.905707897999999,8.443923631,9.0399,215.8389,2.126422091,2.159654276,1.6112174819999998,1.659964504,B+,B+
31/12/2015,IQ1035237,0.008070827,0.010427811,0.17235999999999999,0.13997575,-0.041030042999999995,0.00460333,0.31,6.7372,2.409709384,2.43396984,7.118796172000001,5.806243255,0.44674942100000004,0.430232524,12.70882278,16.17876912,1.2096,0.2498,0.35751001200000004,0.551350908,1.14001456,1.263201862,BBB,BBB
30/06/2016,IQ117842106,0.02293578,0.022525125,0.5767909999999999,0.53886525,0.160409556,0.162803497,17.9168,16.4952,2.711442786,2.688775588,3.7514845510000003,4.321265738,0.590458716,0.572491056,15.02220116,15.35812294,14.1891,58.960175,0.215045872,0.234174379,5.1761363639999995,2.071316398,BB,BB
30/06/2013,IQ30396158,0.016172881,0.015528825,0.18421700000000002,0.1682875,0.044721138,0.033234286,23.116,15.2323,11.98239534,10.19344137,8.612150113,9.68011404,0.6880454109999999,0.6700789220000001,10.88303522,9.90670842,29.1571,24.0448,0.418721054,0.434225352,0.48838170700000005,0.6901400659999999,B+,B+
31/03/2015,IQ165298,0.015812483000000002,0.020150341000000002,0.10235599999999999,0.10578,0.0019312479999999998,0.023516867,3.6516,13.1264,6.063733785,4.930210665,4.122646425,3.3789232260000004,0.49893033200000003,0.45810953299999996,18.92854886,22.95609876,-16.4038,0.8894,0.9632592320000001,1.132012183,1.9753435730000002,2.082147499,BB,BB-
31/03/2016,IQ399117,-0.004755377,-0.004755377,0.240087,0.240087,-0.21470112600000002,-0.21470112600000002,-4.1924,-4.1924,2.2611671280000003,2.2611671280000003,7.307221837999999,7.307221837999999,0.337422626,0.337422626,8.752154782,8.752154782,-61.473,-61.473,0.169638116,0.169638116,0.723339376,0.723339376,BB-,BB
31/12/2016,IQ527692,0.006615741,-0.0055319919999999995,0.483516,0.33523225,0.163678427,-0.039245623,8.7224,-0.7463,2.232763544,2.222862991,2.37365668,5.390588417000001,0.286540035,0.291218795,41.03063382,33.2935244,70.7865,-20.7979,0.23584777,0.180419715,0.851531815,0.7953551459999999,BBB+,BBB+
